30 15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	5:2	1	0	0	0	0	0	0	0	0	1	4:0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	6:3:R:1	6:3:R:1	1	1	1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	6:1:R	1	1	1	6:2:L	0	0	1	2	1	0	0	1	1	4:3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	4:1	0	0	0	1	0	0	3	3	3	0	0	0	0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1	6:0:L	6:0:R	1	1	1	3	3	3	3	3	1	1	1	6:3:L:1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1	1	1	3	3	3	3	3	1	7:5,9,10,19	1	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1	1	1	3	3	3	3	3	1	1	1	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	6:0:U	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	11																																																																																																																																															
